run_id,seq_id,family,driver,rows,duration_s,sample_dt_ms,sample_hz,n_gnss_fix,gnss_fix_dt_s,gnss_fix_hz,path_len_m,speed_mean_ms,speed_max_ms,moving_frac,gps_acc_med_m,valid_frac,valid_gnss_frac,valid_imu_frac,gap_count,speed_resid_mae_ms,file_mb,coupling,prepared,usable,reject_reason
S-Vfa01#0,S-Vfa01,Vf,Driver E,11486,1148.5,100.0,10.0,123,9.0,0.107,18584.0,17.52,26.84,0.937,4.0,1.0,1.0,1.0,0,1.503,2.1,0.6089,True,False,weak_coupling_train_only
S-Vfa02#0,S-Vfa02,Vf,Driver E,67523,6752.2,100.0,10.0,747,9.0,0.111,162834.0,24.53,31.82,0.985,4.0,1.0,1.0,1.0,0,0.742,12.6,0.4637,True,False,weak_coupling_train_only
S-Vta10#0,S-Vta10,Vta,Driver E,1502,150.1,100.0,10.0,17,9.0,0.113,3584.0,25.23,31.55,1.0,4.0,1.0,1.0,1.0,0,1.602,0.3,0.452,True,False,weak_coupling_train_only
S-Vta12#0,S-Vta12,Vta,Driver E,610,60.9,100.0,10.0,7,9.0,0.115,974.0,18.77,23.18,1.0,4.0,1.0,1.0,1.0,0,1.175,0.1,0.3478,True,False,"too_short,weak_coupling_train_only"
S-Vta14#0,S-Vta14,Vta,Driver E,2885,288.4,100.0,10.0,33,9.0,0.114,5413.0,18.78,24.74,1.0,6.0,1.0,1.0,1.0,0,0.87,0.5,0.2127,True,False,weak_coupling_train_only
S-Vta15#0,S-Vta15,Vta,Driver E,833,83.2,100.0,10.0,10,9.0,0.12,1613.0,19.88,21.51,1.0,6.0,1.0,1.0,1.0,0,1.474,0.2,,False,False,"too_short,not_paired"
S-Vta16#0,S-Vta16,Vta,Driver E,11335,1133.4,100.0,10.0,122,9.0,0.108,13489.0,12.81,25.89,0.944,4.0,1.0,1.0,1.0,0,1.319,2.1,0.6227,True,False,weak_coupling_train_only
S-Vta17#0,S-Vta17,Vta,Driver E,4519,453.0,100.0,10.0,50,9.0,0.11,4000.0,9.34,15.01,0.936,4.0,1.0,1.0,1.0,1,2.149,0.8,0.4972,True,False,weak_coupling_train_only
S-Vta1a#0,S-Vta1a,Vta,Driver E,25676,2567.5,100.0,10.0,2520,1.0,0.981,40476.0,16.07,28.78,0.975,4.0,0.997,0.997,1.0,0,0.488,4.8,0.6765,True,False,weak_coupling_train_only
S-Vta1b#0,S-Vta1b,Vta,Driver E,954,95.3,100.0,10.0,95,1.0,0.997,1256.0,13.63,21.37,0.969,4.0,1.0,1.0,1.0,0,0.73,0.2,0.4586,True,False,"too_short,weak_coupling_train_only"
S-Vta2#0,S-Vta2,Vta,Driver E,10991,1099.0,100.0,10.0,1023,1.0,0.931,11062.0,10.97,22.58,0.91,4.0,1.0,1.0,1.0,0,0.531,2.0,0.7632,True,True,
S-Vta20#0,S-Vta20,Vta,Driver E,3223,322.2,100.0,10.0,10,9.0,0.031,650.0,9.29,21.98,0.204,3.0,1.0,1.0,1.0,0,2.847,0.6,0.6451,True,False,weak_coupling_train_only
S-Vta21#0,S-Vta21,Vta,Driver E,2079,207.8,100.0,10.0,24,9.0,0.115,3086.0,13.3,21.98,1.0,4.0,0.913,0.913,1.0,0,26.019,0.4,0.5328,True,False,weak_coupling_train_only
S-Vta22#0,S-Vta22,Vta,Driver E,1564,156.3,100.0,10.0,18,9.0,0.115,1611.0,10.79,15.13,1.0,4.0,1.0,1.0,1.0,0,1.594,0.3,0.5951,True,False,weak_coupling_train_only
S-Vta23#0,S-Vta23,Vta,Driver E,1110,110.9,100.0,10.0,13,9.0,0.117,1051.0,10.82,13.53,0.919,4.0,1.0,1.0,1.0,0,1.235,0.2,0.436,True,False,"too_short,weak_coupling_train_only"
S-Vta24#0,S-Vta24,Vta,Driver E,1171,117.0,100.0,10.0,10,9.0,0.085,678.0,9.44,15.22,0.609,4.0,1.0,1.0,1.0,0,2.785,0.2,0.7507,True,False,too_short
S-Vta25#0,S-Vta25,Vta,Driver E,646,64.5,100.0,10.0,6,9.0,0.093,133.0,5.42,11.54,0.458,3.0,1.0,1.0,1.0,0,2.298,0.1,0.8892,True,False,"too_short,too_little_motion"
S-Vta26#0,S-Vta26,Vta,Driver E,1935,193.4,100.0,10.0,16,9.0,0.083,993.0,8.65,14.96,0.607,3.0,1.0,1.0,1.0,0,1.92,0.4,0.2639,True,False,weak_coupling_train_only
S-Vta27#0,S-Vta27,Vta,Driver E,2540,253.9,100.0,10.0,25,9.0,0.098,2729.0,12.53,16.88,0.883,3.0,1.0,1.0,1.0,0,1.202,0.5,0.2276,True,False,weak_coupling_train_only
S-Vta28#0,S-Vta28,Vta,Driver E,4210,420.9,100.0,10.0,43,9.0,0.102,3870.0,10.63,18.02,0.851,4.0,0.808,0.808,1.0,0,2.006,0.8,0.5217,True,False,weak_coupling_train_only
S-Vta29#0,S-Vta29,Vta,Driver E,23701,2369.8,100.0,10.0,249,9.0,0.105,25511.0,12.32,28.34,0.873,3.0,0.985,0.985,1.0,0,1.74,4.4,0.4146,True,False,weak_coupling_train_only
S-Vta3#0,S-Vta3,Vta,Driver E,645,64.4,100.0,10.0,5,9.0,0.078,153.0,8.51,9.91,0.279,4.0,1.0,1.0,1.0,0,3.525,0.1,,False,False,"too_short,too_little_motion,not_paired"
S-Vta30#0,S-Vta30,Vta,Driver E,17136,1713.5,100.0,10.0,160,9.0,0.093,11873.0,9.49,26.66,0.709,3.0,0.972,0.972,1.0,0,1.551,3.2,0.5216,True,False,weak_coupling_train_only
S-Vta4#0,S-Vta4,Vta,Driver E,1789,178.8,100.0,10.0,21,9.0,0.117,1982.0,11.18,13.52,1.0,4.0,1.0,1.0,1.0,0,0.866,0.3,0.418,True,False,weak_coupling_train_only
S-Vta6#0,S-Vta6,Vta,Driver E,1376,137.5,100.0,10.0,16,9.0,0.116,2529.0,18.63,28.59,1.0,4.0,1.0,1.0,1.0,0,1.827,0.3,,False,False,not_paired
S-Vta7#0,S-Vta7,Vta,Driver E,840,83.9,100.0,10.0,10,9.0,0.119,1450.0,17.79,30.81,1.0,4.0,1.0,1.0,1.0,0,4.398,0.2,0.6865,True,False,"too_short,weak_coupling_train_only"
S-Vta8#0,S-Vta8,Vta,Driver E,3676,367.5,100.0,10.0,33,9.0,0.09,3290.0,11.86,21.1,0.777,3.0,1.0,1.0,1.0,0,1.517,0.7,0.4807,True,False,weak_coupling_train_only
S-Vtb1#0,S-Vtb1,Vtb,Driver E,27003,3245.8,100.0,10.0,280,9.0,0.086,40215.0,14.12,27.77,0.934,4.0,0.936,0.936,1.0,1,3.7,6.1,0.3366,True,False,weak_coupling_train_only
S-Vtb2#0,S-Vtb2,Vtb,Driver E,5712,571.1,100.0,10.0,56,9.0,0.098,4265.0,9.42,17.3,0.783,3.0,0.975,0.975,1.0,0,1.253,1.1,0.4394,True,False,weak_coupling_train_only
S-Vtb3#0,S-Vtb3,Vtb,Driver E,8240,823.9,100.0,10.0,36,13.001,0.044,1552.0,7.74,9.74,0.061,3.0,0.687,0.687,1.0,0,0.998,1.5,0.5237,True,False,weak_coupling_train_only
S-Vtb5#0,S-Vtb5,Vtb,Driver E,64388,6438.7,100.0,10.0,703,9.0,0.109,110741.0,17.97,30.65,0.955,4.0,0.997,0.997,1.0,0,1.041,12.0,0.2887,True,False,weak_coupling_train_only
S-Vtb8#0,S-Vtb8,Vtb,Driver E,668,66.7,100.0,10.0,8,9.0,0.12,1221.0,19.19,20.02,1.0,4.0,1.0,1.0,1.0,0,0.65,0.1,0.3261,True,False,"too_short,weak_coupling_train_only"
S-Vw1#0,S-Vw1,Vw,Driver E,20476,2047.5,100.0,10.0,1,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0,,3.5,,False,False,"too_little_motion,not_paired"
S-Vw10#0,S-Vw10,Vw,Driver E,652,65.1,100.0,10.0,8,9.0,0.123,704.0,10.17,13.46,1.0,2.0,1.0,1.0,1.0,0,1.566,0.1,0.3344,True,False,"too_short,weak_coupling_train_only"
S-Vw11#0,S-Vw11,Vw,Driver E,4909,490.8,100.0,10.0,49,9.0,0.1,5620.0,14.39,27.01,0.821,2.0,1.0,1.0,1.0,0,1.924,0.9,0.607,True,False,weak_coupling_train_only
S-Vw12#0,S-Vw12,Vw,Driver E,918,91.7,100.0,10.0,11,9.0,0.12,2257.0,25.13,26.48,1.0,4.0,1.0,1.0,1.0,0,2.731,0.2,,False,False,"too_short,not_paired"
S-Vw14a#0,S-Vw14a,Vw,Driver E,3138,313.7,100.0,10.0,36,9.0,0.115,7944.0,25.14,29.67,1.0,4.0,1.0,1.0,1.0,0,2.068,0.6,,False,False,not_paired
S-Vw14b#0,S-Vw14b,Vw,Driver E,19588,1958.7,100.0,10.0,219,9.0,0.112,41164.0,21.0,31.84,1.0,4.0,1.0,1.0,1.0,0,0.919,3.7,,False,False,not_paired
S-Vw14c#0,S-Vw14c,Vw,Driver E,15826,1582.5,100.0,10.0,157,9.0,0.099,16998.0,13.32,27.61,0.809,3.0,1.0,1.0,1.0,0,1.912,3.0,0.425,True,False,weak_coupling_train_only
S-Vw15#0,S-Vw15,Vw,Driver E,1380,137.9,100.0,10.0,1,,0.007,0.0,0.0,0.0,0.0,6.0,0.986,0.986,1.0,0,,0.3,,False,False,"too_little_motion,not_paired"
S-Vw16a#0,S-Vw16a,Vw,Driver E,5879,587.8,100.0,10.0,61,9.0,0.104,8189.0,16.05,22.67,0.863,3.0,1.0,1.0,1.0,0,1.341,1.1,0.2404,True,False,weak_coupling_train_only
S-Vw16b#0,S-Vw16b,Vw,Driver E,1126,112.5,100.0,10.0,13,9.0,0.116,1812.0,17.96,23.48,0.921,6.0,1.0,1.0,1.0,0,1.388,0.2,0.2588,True,False,"too_short,weak_coupling_train_only"
S-Vw2#0,S-Vw2,Vw,Driver E,52713,5271.2,100.0,10.0,565,9.0,0.107,98120.0,19.76,31.61,0.948,4.0,0.991,0.991,1.0,0,1.099,9.9,0.4732,True,False,weak_coupling_train_only
S-Vw3#0,S-Vw3,Vw,Driver E,3861,386.0,100.0,10.0,41,9.0,0.106,4827.0,13.72,20.99,0.948,3.0,1.0,1.0,1.0,0,2.142,0.7,0.6204,True,False,weak_coupling_train_only
S-Vw4#0,S-Vw4,Vw,Driver E,126526,12652.5,100.0,10.0,1340,9.0,0.106,212795.0,18.21,35.81,0.931,4.0,1.0,1.0,1.0,0,1.54,23.6,0.4729,True,False,weak_coupling_train_only
S-Vw5#0,S-Vw5,Vw,Driver E,1012,101.1,100.0,10.0,12,9.0,0.119,637.0,6.79,9.87,0.911,3.0,1.0,1.0,1.0,0,1.366,0.2,0.8079,True,False,too_short
S-Vw6#0,S-Vw6,Vw,Driver E,1281,128.0,100.0,10.0,15,9.0,0.117,1056.0,8.26,10.42,0.938,2.0,1.0,1.0,1.0,0,1.341,0.2,0.6984,True,False,weak_coupling_train_only
S-Vw7#0,S-Vw7,Vw,Driver E,1602,160.1,100.0,10.0,18,9.0,0.112,1020.0,8.14,13.7,0.832,2.0,1.0,1.0,1.0,0,2.42,0.3,,False,False,not_paired
S-Vw8#0,S-Vw8,Vw,Driver E,1529,152.8,100.0,10.0,17,9.0,0.111,964.0,8.02,10.76,0.882,3.0,1.0,1.0,1.0,0,1.629,0.3,,False,False,not_paired
S-Y1#2,S-Y1,Y,Driver D,3037,303.6,100.0,10.0,30,9.0,0.099,3191.0,12.27,19.43,0.867,3.0,0.95,0.95,1.0,0,1.267,13.0,,False,False,not_paired
S-Y1#3,S-Y1,Y,Driver D,66910,6690.8,100.0,10.0,690,9.0,0.103,54975.0,9.64,21.53,0.869,3.0,0.993,0.993,1.0,0,1.521,13.0,0.9624,True,True,
